Number,formula,enthalpy
463,B5H5,1.61737825
464,B2H10,0.24046032
465,B2H15,0.11656434
466,B4H11,0.38309013
467,B2H16,0.32986232
468,B2H9,0.49131741
469,B4H16,0.08603313
471,B3H7,0.09285974
472,B2H12,0.14462324
473,B4H13,0.25508995
474,B5H2,1.78622036
475,B5H12,0.36467241
476,B1H17,0.22168769
477,B5H17,0.19791505
478,B4H16,0.29212688
479,B5H3,1.00266306
480,B3H15,0.74826253
481,B1H12,0.1023024
482,B3H14,0.1071365
483,B4H15,0.19789794
486,B3H2,1.14071884
487,B1H9,0.57693755
488,B2H10,0.58999778
489,B2H16,0.20557581
490,B5H20,0.32943668
491,B3H4,0.37733558
492,B2H14,0.17106901
493,B2H1,0.56490619
496,B5H17,0.53842692
497,B3H3,0.48840447
498,B4H10,0.16387279
499,B2H7,0.43662835
500,B2H18,0.15834829
501,B3H12,0.24917141
502,B2H3,0.73082015
503,B6H8,0.25887583
504,B2H13,0.13285261
505,B5H8,0.14051218
506,B5H20,0.40401058
507,B4H6,0.94254339
508,B2H8,1.11814694
509,B5H13,0.40379961
510,B3H9,0.21798087
512,B2H15,0.51602224
515,B5H6,0.2580612
516,B2H15,0.57193549
517,B5H19,0.89085691
518,B2H17,0.09338199
519,B3H3,0.26143051
520,B2H3,1.30472151
521,B3H3,0.29204635
522,B5H9,0.26059972
523,B1H4,0.23332558
524,B4H17,0.16864938
525,B6H4,0.65883359
527,B2H5,0.1954589
528,B1H3,0.24712262
529,B5H11,0.39112298
530,B6H6,1.46856979
531,B3H1,0.66203817
532,B1H17,0.08987566
533,B4H5,1.69890597
535,B2H1,0.46923779
536,B2H15,0.25429884
537,B6H5,2.14444823
538,B3H17,0.25208277
539,B5H13,0.17983268
540,B4H17,0.15093735
541,B1H3,0.20578447
543,B5H17,0.18211606
544,B2H7,0.07109621
545,B2H13,0.10541725
546,B2H20,0.18218265
547,B3H4,0.50280814
548,B4H13,0.48756042
550,B3H14,0.2955298
551,B4H9,0.56898408
554,B3H16,0.12131147
555,B3H6,0.1384446
556,B1H10,0.20198347
557,B3H16,0.09805602
558,B3H16,0.13307773
559,B3H6,0.83487385
560,B6H11,0.13465608
561,B3H9,0.69568407
562,B6H5,0.25861937
563,B4H7,0.23817483
565,B4H7,0.76732997
566,B4H1,0.72310955
567,B1H4,0.40416852
568,B6H10,2.40234044
570,B2H14,0.38122345
573,B2H3,1.20416705
574,B5H7,0.20281513
575,B3H14,0.32527905
576,B5H11,0.19117246
577,B3H16,0.30400914
578,B2H18,0.31486497
579,B5H5,0.35039575
580,B5H12,0.25932734
581,B4H4,1.06309423
582,B4H6,0.40423358
583,B6H10,0.45060471
584,B3H4,0.66659058
585,B3H8,0.16567311
586,B1H16,0.37990402
587,B6H6,0.44094546
588,B6H9,0.27535964
589,B5H8,0.60357237
590,B2H8,0.19207994
591,B1H4,0.23861163
592,B5H16,0.13569504
594,B3H20,0.24430188
595,B6H11,0.20340079
596,B4H10,0.34421384
597,B2H15,0.12870019
598,B5H6,0.2984358
599,B2H6,0.5066065
600,B3H13,0.85262962
2,B,10.57689959
3,H,16.89105097
