# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f             devi_e            min_dis
         189       1.792330e+01       1.592270e-01       1.031507e+01       9.871509e-01       2.237275e-02       4.587924e-01       7.456111e+00       7.875180e-01
         190       3.589168e-01       1.373793e-08       1.451718e-01       1.132234e+00       2.140469e-15       2.530122e-01       3.799271e-01       1.485417e+00
         191       2.218805e+00       4.145582e-02       1.264584e+00       7.474856e+00       8.432708e-01       2.702619e+00       4.343101e-01       8.251037e-01
         192       4.384359e-01       1.149369e-08       1.753481e-01       1.232483e+00       6.911984e-15       2.643719e-01       3.655485e-01       1.452789e+00
         193       2.215153e+00       3.991318e-02       1.262333e+00       7.485956e+00       8.572204e-01       2.700376e+00       4.345158e-01       8.285189e-01
         194       2.213365e+00       4.039928e-02       1.261615e+00       7.537487e+00       8.482797e-01       2.703097e+00       4.346250e-01       8.276801e-01
         195       2.205609e+01       9.674446e-02       1.242722e+01       7.123299e+00       8.395457e-01       2.629000e+00       4.523296e+00       4.482321e-01
         196       2.203124e+01       9.266944e-02       1.240819e+01       7.103715e+00       8.229806e-01       2.634579e+00       4.522661e+00       4.486011e-01
         197       3.787694e+00       5.145722e-08       1.925380e+00       2.773598e+00       7.624413e-01       1.967259e+00       2.704902e+00       1.573644e+00
         198       2.205582e+01       9.593065e-02       1.241873e+01       7.126725e+00       8.305134e-01       2.637189e+00       4.522747e+00       4.481827e-01
         199       4.921477e+00       9.266781e-08       2.680093e+00       2.077479e+00       1.203545e+00       1.705666e+00       3.393084e+00       1.333282e+00
         200       1.509922e+00       2.490639e-08       6.027618e-01       3.864332e+00       3.616101e-01       1.384212e+00       1.663323e-01       5.969574e-01
         201       1.542268e+00       1.546758e-08       6.593460e-01       3.867631e+00       4.139112e-01       1.418051e+00       1.671551e-01       5.637963e-01
         202       7.103043e+00       1.934581e-02       3.916009e+00       6.722599e+00       6.839283e-01       1.898299e+00       6.848891e-01       8.462963e-01
         203       7.087351e+00       1.865901e-02       3.906396e+00       6.727919e+00       7.098006e-01       1.903192e+00       6.820587e-01       8.451254e-01
         204       7.074319e+00       1.887241e-02       3.900812e+00       6.726231e+00       6.860210e-01       1.894885e+00       6.813855e-01       8.439510e-01
